"specific_name","ordinal_position","parameter_mode","parameter_name","data_type","character_maximum_length"
"sp__UpdateDocumentModule","11","IN","@UserID","int","0"
"sp__GetNavImagesForPetroferm","1","IN","@LiveMode","bit","0"
"sp__AddBusinessAppUser","1","IN","@AppUserID","int","0"
"sp__AddBusinessAppUser","2","IN","@BusUnitIDList","varchar","100"
"sp__AddBusinessAppUser","3","IN","@IsDefault","bit","0"
"sp__AddBusinessAppUser","4","IN","@ActiveFlag","bit","0"
"sp__AddBusinessAppUser","5","IN","@LastModBy","int","0"
"sp__AddBusinessAppUser","6","INOUT","@BusAppUserID","int","0"
"sp__AddUser","1","IN","@LastModBy","int","0"
"sp__AddUser","2","IN","@UserId","uniqueidentifier","0"
"sp__AddUser","3","INOUT","@AppUserID","int","0"
"sp__DeleteUser","1","IN","@AppUserID","int","0"
"sp__GetAppUserBusinessUnits","1","IN","@AppUserID","int","0"
"sp__UpdateAppUserDefaultBU","1","IN","@AppUserID","int","0"
"sp__UpdateAppUserDefaultBU","2","IN","@BusUnitID","int","0"
"sp__UpdateAppUserDefaultBU","3","IN","@IsDefault","bit","0"
"sp__UpdateAppUserDefaultBU","4","IN","@LastModBy","int","0"
"sp__GetFriendlyUrlByDomain","1","IN","@DomainName","varchar","200"
"sp__GetFriendlyUrlByDomain","2","INOUT","@UrlFriendlyName","varchar","500"
"sp__ApproveUserByID","1","IN","@UserId","uniqueidentifier","0"
"sp__ApproveUserByID","2","IN","@IsApproved","bit","0"
"sp__GetAppUserBUDefault","1","IN","@UserID","uniqueidentifier","0"
"sp__GetAppUserBUDefault","2","INOUT","@BusUnitID","int","0"
"sp__UpdateAppUser","1","IN","@UserId","uniqueidentifier","0"
"sp__UpdateAppUser","2","IN","@FirstName","varchar","50"
"sp__UpdateAppUser","3","IN","@LastName","varchar","100"
"sp__UpdateAppUser","4","IN","@LastModBy","int","0"
"sp__DeleteRegistrant","1","IN","@UserId","uniqueidentifier","0"
"sp__GetProductApprovalsByGridID","1","IN","@GridID","int","0"
"sp__GetProductApprovalsByGridID","2","IN","@LiveMode","bit","0"
"sp__DeletePage","3","IN","@JobID","int","0"
"sp__DeletePage","4","IN","@WorkflowStatus","varchar","50"
"sp_NLT_GetJobContentRecords","1","IN","@jobid","int","0"
"sp_NLT_PageModuleDeploymentQuickFix","1","IN","@jobid","int","0"
"sp_NLT_PageModuleDeploymentQuickFix","2","IN","@pm_relnId","int","0"
"sp_NLT_PageModuleDeploymentQuickFix","3","IN","@contentid","int","0"
"sp__GetPageModulesByJobId","1","IN","@JobID","int","0"
"sp__GetImageModuleByPageAndType","1","IN","@PageId","int","0"
"sp__GetImageModuleByPageAndType","2","IN","@ImageTypes","varchar","100"
"sp__GetImageModuleByPageAndType","3","IN","@LiveMode","bit","0"
"sp__GetImages","1","IN","@ExcludeSpacerGif","bit","0"
"sp__AddDomainMapping","1","IN","@DomainName","varchar","200"
"sp__AddDomainMapping","2","IN","@Website","varchar","100"
"sp__AddDomainMapping","3","IN","@PageID","int","0"
"sp__AddDomainMapping","4","IN","@PublishDate","datetime","0"
"sp__AddDomainMapping","5","IN","@ExpirationDate","datetime","0"
"sp__AddDomainMapping","6","IN","@ActiveFlag","bit","0"
"sp__AddDomainMapping","7","IN","@LastModifiedBy","int","0"
"sp__AddDomainMapping","8","INOUT","@ID","int","0"
"sp__GetPageModulesByMarketForCopy","1","IN","@MarketID","int","0"
"sp__AddModuleCopy","1","IN","@PageID","int","0"
"sp__AddModuleCopy","2","IN","@ModuleID","int","0"
"sp__AddModuleCopy","3","IN","@ModuleType","varchar","50"
"sp__AddModuleCopy","4","IN","@PublishDate","datetime","0"
"sp__AddModuleCopy","5","IN","@ExpireDate","datetime","0"
"sp__AddModuleCopy","6","IN","@MarkedForDeletion","bit","0"
"sp__AddModuleCopy","7","IN","@WorkflowStatus","varchar","50"
"sp__AddModuleCopy","8","IN","@JobID","int","0"
"sp__AddModuleCopy","9","IN","@UserID","int","0"
"sp_UTIL_CreateBasicMembership","1","IN","@userName","nvarchar","256"
"sp_UTIL_CreateBasicMembership","2","INOUT","@applicationId","uniqueidentifier","0"
"sp_UTIL_CreateBasicMembership","3","INOUT","@uid","int","0"
"sp_UTIL_DeleteAllMembershipInfo","1","IN","@are_you_sure","bit","0"
"sp__AddModuleCopy","10","INOUT","@PageModuleRelnID","int","0"
"sp__GetSideNavOrderList","1","IN","@BusId","int","0"
"sp__GetSideNavOrderList","2","IN","@MktId","int","0"
"sp__GetSideNavOrderList","3","IN","@SectionId","int","0"
"sp__GetSideNavOrderList","4","IN","@ProdCatId","int","0"
"sp__GetSideNavOrderList","5","IN","@AddPlusOne","bit","0"
