"DeploymentSqlID","DeploymentJobID","SqlStatement","ExecuteDate","ActiveFlag"
"27","1","insert into tblUrlRewrite_LIVE select fn_a.PageID, fn_a.UrlFriendlyName, fn_a.PublishDate, fn_a.ExpirationDate, fn_a.WorkflowStatus, fn_a.LastModifiedDate, fn_a.LastModifiedBy, fn_a.ActiveFlag, fn_a.MarkedForDeletion, fn_a.DeploymentJobId, fn_a.UrlRewriteID from tblUrlRewrite fn_a, tblDeploymentQueue_U q where q.KeyNameValue = fn_a.UrlRewriteID and q.DeploymentJobID = 1 and q.TableName = 'tblUrlRewrite' and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"28","1","update tblUrlRewrite_LIVE set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 1 from tblDeploymentQueue_U q, tblUrlRewrite_LIVE l where q.KeyNameValue = l.UrlRewriteID and q.TableName = 'tblUrlRewrite' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"29","1","delete tblUrlRewrite from tblDeploymentQueue_U q, tblUrlRewrite cms where q.KeyNameValue = cms.UrlRewriteID and q.DeploymentJobID = 1 and q.TableName = 'tblUrlRewrite' and UPPER(q.RecordAction) = 'DELETE' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"30","1","update tblUrlRewrite set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 0, LastModifiedDate = getdate() from tblDeploymentQueue_U q, tblUrlRewrite cms where q.KeyNameValue = cms.UrlRewriteID and q.TableName = 'tblUrlRewrite' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"31","1","insert into tblDeploymentQueue_U (TableName, KeyName, KeyNameValue, RecordAction, DeploymentJobID, DeploymentDate, DeployedBy, ActiveFlag) select 'tblProductBlurbModule', 'ProductBlurbModuleID', ProductBlurbModuleID, case MarkedForDeletion when 1 then 'DELETE' else 'INSERT' end , 1, getdate(), 'System Administrator', 1 from tblProductBlurbModule where UPPER(WorkflowStatus) = 'PENDING DEPLOYMENT'","2007-03-18 21:51:28","0"
"32","1","delete tblProductBlurbModule_LIVE from tblDeploymentQueue_U q, tblProductBlurbModule_LIVE l where q.KeyNameValue = l.ProductBlurbModuleID and q.DeploymentJobID = 1 and q.TableName = 'tblProductBlurbModule' and UPPER(q.RecordAction) in ('DELETE','INSERT') and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"33","1","insert into tblProductBlurbModule_LIVE select fn_a.SourceID, fn_a.ProductSelection, fn_a.Title, fn_a.ProductBlurb, fn_a.PublishDate, fn_a.ExpirationDate, fn_a.WorkflowStatus, fn_a.LastModifiedDate, fn_a.LastModifiedBy, fn_a.ActiveFlag, fn_a.MarkedForDeletion, fn_a.DeploymentJobId, fn_a.ProductBlurbModuleID from tblProductBlurbModule fn_a, tblDeploymentQueue_U q where q.KeyNameValue = fn_a.ProductBlurbModuleID and q.DeploymentJobID = 1 and q.TableName = 'tblProductBlurbModule' and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"34","1","update tblProductBlurbModule_LIVE set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 1 from tblDeploymentQueue_U q, tblProductBlurbModule_LIVE l where q.KeyNameValue = l.ProductBlurbModuleID and q.TableName = 'tblProductBlurbModule' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"35","1","delete tblProductBlurbModule from tblDeploymentQueue_U q, tblProductBlurbModule cms where q.KeyNameValue = cms.ProductBlurbModuleID and q.DeploymentJobID = 1 and q.TableName = 'tblProductBlurbModule' and UPPER(q.RecordAction) = 'DELETE' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"36","1","update tblProductBlurbModule set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 0, LastModifiedDate = getdate() from tblDeploymentQueue_U q, tblProductBlurbModule cms where q.KeyNameValue = cms.ProductBlurbModuleID and q.TableName = 'tblProductBlurbModule' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
